model,R2_train,MAE_train,RMSE_train,R2_test,MAE_test,RMSE_test,rep
XGBoost,0.974837369331491,5.22216565645658,10.172793691869135,0.8741558743316525,17.412642493614783,26.581781964634608,18
DNN,0.6684784570290474,28.47146849860554,36.92479499945979,0.6309045458274547,34.05050900615942,45.52363847469444,18
Ensemble (XGB+LGBM),0.9649382258404602,7.52786709743566,12.008234472949551,0.867981587672223,18.856422857878435,27.226064579598383,18
SVR,0.5360220877922334,33.87158717279697,46.77660270450174,0.36951805712047947,33.091000714518835,45.05838891923675,19
Random Forest,0.9748311069143936,7.653956251526172,10.894619864634983,0.5781821311260646,27.321343711843703,36.855458591490454,19
LightGBM,0.9611867631528414,9.805751290463874,13.529132641448212,0.5580331604021416,25.646100234305305,37.7254280166471,19
XGBoost,0.9959929521515994,3.2204813600197824,4.347026499563155,0.5776413621429528,22.361077536558494,36.87907530712349,19
DNN,0.8418483570617757,20.606812750479918,27.309696731140736,0.3877148672122809,32.49559539175422,44.4033963578405,19
Ensemble (XGB+LGBM),0.9858318451448776,6.043009410759561,8.174038349897401,0.5803492381156825,23.29020270353757,36.760663449209254,19
SVR,0.48142308059245753,34.92813414577818,48.49146423010259,0.3857735506624166,34.59146751682705,48.577290054538985,20
Random Forest,0.9478806661384758,9.597834725274696,15.372982561754831,0.7721098431674577,24.186362014651998,29.589103722850435,20
LightGBM,0.9401373716669238,10.771545447576447,16.475423878764577,0.8328562219585671,18.264461905972496,25.340438970778358,20
XGBoost,0.966172681116722,6.056159779475285,12.38489973759437,0.9128938641261772,14.302217352451425,18.293356618712608,20
DNN,0.7606904485244715,24.90134073253985,32.94114743071361,0.6936598400190047,27.294774246896598,34.306071941124785,20
Ensemble (XGB+LGBM),0.9586475820272965,8.115269636984006,13.693332721222026,0.8935427853607522,14.971287689373202,20.22351195637687,20
SVR,0.4979682557400582,33.77389444352928,46.35774986688747,0.4626085562688046,40.411244110429266,49.09342503968309,21
Random Forest,0.9661071055181796,8.26973235042729,12.045118807136218,0.7047649017869846,25.46897167277177,36.38831548863607,21
LightGBM,0.9400794743897878,11.525244409192728,16.015649854258967,0.7566174395115298,20.574654773964305,33.03867989901009,21
XGBoost,0.9829123242956935,4.749037070641152,8.552601852407012,0.7614967479601666,18.301670680901942,32.70582517151556,21
DNN,0.8077115960877436,21.77631113012074,28.690182151375744,0.5880777203999988,30.883319404835838,42.98189901515722,21
Ensemble (XGB+LGBM),0.9706453060055783,7.626718129953863,11.209739931707409,0.7705343048830656,18.1440357233767,32.08018339825568,21
SVR,0.45464184970679367,35.76927861321519,48.133376566004735,0.5037496977770227,35.51834632206369,46.26344178771485,22
Random Forest,0.9452405193860336,9.782213760683698,15.252291073731207,0.8809244794659898,16.18688393162391,22.6620290208332,22
LightGBM,0.9321140166790761,11.247522003987687,16.98225982244169,0.8926392139043705,13.671009850192423,21.518420421208027,22
XGBoost,0.9656094045194669,6.011931870289338,12.087187873773644,0.8982417164953471,12.70792001577524,20.949440721912534,22
DNN,0.6796497125026582,29.180329222109886,36.89079238606835,0.6554975330724,27.744361206695846,38.54639035180249,22
Ensemble (XGB+LGBM),0.9556425484447086,8.230760452289248,13.727413571594568,0.9011701393193522,12.660173608852867,20.6457963236725,22
SVR,0.4873976420744721,35.000122551087735,48.63101679109431,0.5466821918992482,31.200672446711106,40.61326346180433,23
Random Forest,0.9586124154261682,9.144912735042707,13.818410526338257,0.7177072744262543,23.27692461538467,32.04913716388503,23
LightGBM,0.9479723198617979,10.598373526411828,15.493169813971344,0.7342687342417564,21.471982090650037,31.094804199570365,23
XGBoost,0.9785957250187494,4.922754915677585,9.937412349545655,0.7148020483166295,21.77656524658203,32.21363246483789,23
DNN,0.6870288300321041,28.876314136032644,37.99926679897543,0.7032062093719591,25.596011335095792,32.86199336728169,23
Ensemble (XGB+LGBM),0.9695605354184679,7.393999073772264,11.85063316451522,0.7405207434950803,20.42641796851207,30.726834467656676,23
SVR,0.5272420401233477,33.5733583974061,46.88612776858854,0.26615780430419755,38.048898996580114,50.55474129862767,24
Random Forest,0.9651395182582914,8.398939487179433,12.731853536516452,0.7086233085150669,22.077286007326002,31.855758934219644,24
LightGBM,0.9529475973702192,10.643025893215647,14.791623505906225,0.7414612516311305,22.324074616162253,30.007054935155793,24
XGBoost,0.9843402319567061,4.600622495993591,8.533311594728637,0.8162437725633576,16.529093659229765,25.297731883443845,24
DNN,0.7759866153825636,25.004365711195295,32.27467856843679,0.31348737434374074,37.36678709607245,48.89729298968258,24
Ensemble (XGB+LGBM),0.9751038257402399,7.072890092757796,10.75947917616459,0.7947926059908303,18.3505903808519,26.733575949720603,24
SVR,0.4941371551062165,34.43758087947254,47.39420738844372,0.4317290587999697,36.98637732856134,48.69190704364739,25
Random Forest,0.9456360774180982,9.837964572649534,15.536896269563563,0.860337188271645,18.751589059829012,24.139009765586675,25
LightGBM,0.9369540864761784,11.178484819107695,16.731595034803437,0.8396975435515256,19.823209315456452,25.861228323469593,25
XGBoost,0.9650369270111036,6.455364538339468,12.459874614403626,0.916716864981276,13.468156151404745,18.640501499276493,25
DNN,0.7702090996470516,22.406755614400783,31.942969510318402,0.7236363686072189,27.705286064213013,33.95623301832949,25
Ensemble (XGB+LGBM),0.9569743516584948,8.45719985620644,13.822053996080747,0.8941964007243619,15.90938761151056,21.010156184311974,25
SVR,0.5394821464096231,31.76918233717989,44.1461081256903,0.48023496762423334,39.23048616248861,51.86116671595812,26
Random Forest,0.958381894028954,8.678422240537163,13.271204536767229,0.7951430642340883,21.605987008546972,32.55847760870948,26
LightGBM,0.9495450515615672,9.623626425418097,14.61238378296964,0.7960010269110788,23.640182710888908,32.490226886543276,26
XGBoost,0.9749419114835803,5.358413457625952,10.297769255592986,0.8410060810672625,17.594693110539364,28.683293086481136,26
DNN,0.8058289263244331,20.558907509483404,28.665627481731143,0.5913739640180578,34.79758917831558,45.98347317447865,26
Ensemble (XGB+LGBM),0.9678282605633464,7.004782726767132,11.668269679488642,0.8306893760111125,19.542059278494673,29.599260347579317,26
SVR,0.5039828740716046,33.4576648074541,46.67606287847929,0.4846581103593841,37.15013825875379,48.30048471308224,27
Random Forest,0.9485891726897137,9.581669957264976,15.027030806730524,0.837312034582965,20.775903247863276,27.138227586664097,27
LightGBM,0.9245118820186266,12.263757593116958,18.20896157330539,0.9009663799180871,17.360213676363912,21.173618975148575,27
XGBoost,0.966836073706134,6.101411649263823,12.069210198156584,0.9240204477625474,13.64129791259766,18.546080102112736,27
DNN,0.8053268726059191,21.101725470535786,29.241448591960935,0.7795668435372146,26.14033830823925,31.589461748503002,27
Ensemble (XGB+LGBM),0.9545448730185319,8.716142723384461,14.129842406658428,0.9243741026744194,14.329394574857032,18.502867407156913,27
SVR,0.4925471045010592,33.398481021318005,45.181665004949004,0.4042843780631348,43.37379754792051,59.214574243264465,28
Random Forest,0.9571419441542827,8.519813046398038,13.130479831972936,0.8508633671546071,21.838696410256468,29.627928180183364,28
LightGBM,0.9399346888007174,10.431769959056815,15.544481112231386,0.8816267146022527,18.40775915800942,26.39586917295136,28
XGBoost,0.9743706843452885,5.084145889282226,10.153899690571745,0.9278557425992726,14.857044943785057,20.606773625289172,28
DNN,0.7121015131457903,27.139634659035018,34.03173218874521,0.7766164922783062,28.078530326921555,36.26057357867111,28
Ensemble (XGB+LGBM),0.9642026259165075,7.475394594414722,12.000240469089162,0.916084731933832,15.445970244028649,22.22437771896135,28
SVR,0.5030193340295478,33.651365979329235,45.50539782085762,0.46980517872515226,38.66224703387117,53.67482743903957,29
Random Forest,0.9629434031237472,8.66433590048842,12.425845090804543,0.7599664564692256,24.77956119658116,36.11510521475468,29
LightGBM,0.9532422757696082,9.723555737142883,13.957892564962636,0.7868177674709927,22.660067337167067,34.035208793013354,29
XGBoost,0.9833924814925168,4.399546454013923,8.318509963681999,0.8057616256938561,17.873770908453523,32.487809765739435,29
