protocol,rep,R2,MAE,RMSE
Random (80/20 repeated),117,0.6271040663776007,36.04566288588436,45.54103333049597
Random (80/20 repeated),118,0.33563704605533273,41.04492045773384,50.09509577328009
Random (80/20 repeated),119,0.580773407894636,40.969762197304384,49.891887052326936
Random (80/20 repeated),120,0.1268248814573164,39.68499020636479,55.06493287395263
Random (80/20 repeated),121,0.3251090087304067,41.908825056519504,58.91461731920303
Random (80/20 repeated),122,0.06205637068023517,38.73928586508192,55.545732808496915
Random (80/20 repeated),123,0.4260626673931108,37.97234506781053,45.605299839194096
Random (80/20 repeated),124,0.5774735857251078,34.32334837324073,42.842177412556396
Random (80/20 repeated),125,0.5247391248940386,37.73069956099778,48.44052115727429
Random (80/20 repeated),126,0.5869381239132332,35.00982996462443,40.116339161672244
Random (80/20 repeated),127,0.5037501661693196,35.28727061072453,42.913922357693174
Random (80/20 repeated),128,0.441402975833328,41.878525241605544,52.12351579633019
Random (80/20 repeated),129,0.34503822627718794,40.52150134431319,58.19670907452693
Random (80/20 repeated),130,0.5624484071263243,37.55425206867129,44.75113886006865
Random (80/20 repeated),131,0.5312752089159162,35.76342531222244,41.51976772897734
Random (80/20 repeated),132,0.6685842414718599,27.19984256006359,34.42376492561842
Random (80/20 repeated),133,0.4948584214963675,42.36009070802026,51.83375996477281
Random (80/20 repeated),134,-0.2076434053682079,40.04056308700304,57.50880854118792
Random (80/20 repeated),135,0.4439534735198144,41.037586365494285,47.114054171828755
Random (80/20 repeated),136,0.22568013939911258,39.90406888611996,55.90932825220174
Random (80/20 repeated),137,0.2147777697961848,44.32393144199276,53.8568582677184
Random (80/20 repeated),138,0.3414197089185008,44.469898827800456,51.388117664093855
Random (80/20 repeated),139,-0.0634779588319001,42.38494899136732,60.84019179630886
Random (80/20 repeated),140,0.4795208273147733,38.48745340208067,46.515971130252595
Random (80/20 repeated),141,0.4817211409303822,33.56539262161347,38.92135171226237
Random (80/20 repeated),142,-0.2794969399472431,42.000752492611156,60.27725205035802
Random (80/20 repeated),143,0.5484595573460485,33.795510851013525,42.20658319480317
Random (80/20 repeated),144,0.4264906917528535,39.011656846951674,43.59385037714119
Random (80/20 repeated),145,0.3842092574404423,44.61518545750021,60.1887859207114
Random (80/20 repeated),146,0.43547107013307207,41.449065078610964,50.775064563381065
Random (80/20 repeated),147,0.5988299190923836,37.16096331347281,44.62205100836756
Random (80/20 repeated),148,0.4341460927158134,38.95034525082768,48.59742463121264
Random (80/20 repeated),149,0.407261232627919,42.02462240372656,51.130627627376505
Random (80/20 repeated),150,0.38606951914266097,38.39857107388915,45.56977057099979
Random (80/20 repeated),151,0.5393602417670189,35.15182215364889,41.57987224170673
Random (80/20 repeated),152,0.5912810018121013,37.152718940161414,45.10551576713056
Random (80/20 repeated),153,-0.0357772095195239,36.47698513780258,56.59487965768895
Random (80/20 repeated),154,0.6904125062519605,28.270476228167652,35.65685644648718
Random (80/20 repeated),155,0.1562823581919529,42.27851443698761,59.813539768097456
Random (80/20 repeated),156,0.13522762126595755,45.28024927749291,62.34723519315268
Random (80/20 repeated),157,0.47296239077032176,39.22057710316475,48.046688967629336
Random (80/20 repeated),158,0.49270636980389404,40.22664356226672,47.32952170933151
Random (80/20 repeated),159,-0.11687410897686523,41.05182833250343,59.18504275229967
Random (80/20 repeated),160,0.6019132391929782,37.69632891935002,46.42337822844783
Random (80/20 repeated),161,0.5098775759217853,38.812348988020716,48.0700163005445
Random (80/20 repeated),162,0.5976119477041606,33.299931662589714,39.73912265469629
Random (80/20 repeated),163,0.10639902726312345,43.84117696401117,61.14317426601586
Random (80/20 repeated),164,0.546158604377768,36.62156406165031,43.05943105314853
Random (80/20 repeated),165,0.5280505963419933,34.16101387261358,41.22515008790138
Random (80/20 repeated),166,0.48558086963308567,38.17989062871196,46.93777570725022
Random (80/20 repeated),167,0.4360470371255445,38.981051438763245,45.7575353051144
Random (80/20 repeated),168,0.17654325957694406,41.4059848932447,57.69685168419039
Random (80/20 repeated),169,0.5363071999695459,39.5213815260823,47.18803808437246
Random (80/20 repeated),170,0.4139517865746658,44.06967545288278,60.687409293453705
Random (80/20 repeated),171,0.49256319423213313,39.25192909175824,43.73941186126268
Random (80/20 repeated),172,0.4701288932892723,36.69434591337698,44.040361454833224
Random (80/20 repeated),173,0.24710168696185497,40.60333308079838,47.11635428415178
Random (80/20 repeated),174,-0.13668372318021627,54.8619929378445,74.87355361775211
Random (80/20 repeated),175,0.2903957945958284,40.37802524154743,49.38364730195161
